User,Artist,Album,Song,ListenDate
Thepekingduck,The Black Keys,Little Black Submarines,Little Black Submarines - radio edit,12/24/2013 12:02
Thepekingduck,Piano Tribute Conservatory,Piano Tribute to Owl City Vol. 2,Tidal Wave,12/23/2013 14:18
Thepekingduck,Piano Tribute Conservatory,Piano Tribute to Owl City Vol. 2,Galaxies,12/23/2013 14:15
Thepekingduck,Piano Tribute Conservatory,Piano Tribute to Owl City Vol. 2,Angels,12/23/2013 14:12
Thepekingduck,Piano Tribute Conservatory,Piano Tribute to Owl City Vol. 2,Shooting Star,12/23/2013 14:09
Thepekingduck,Piano Tribute Conservatory,Piano Tribute to Owl City and Carly Rae Jepsen,Fireflies,12/23/2013 14:02
Thepekingduck,GMPresents & Jocelyn Scofield,Skyfall,Skyfall (Instrumental),12/23/2013 13:57
Thepekingduck,GMPresents & Jocelyn Scofield,Skyfall,Skyfall (Instrumental),12/23/2013 13:52
Thepekingduck,Johannes Friedemann,Ziemlich beste Freunde (Una mattina),Ziemlich beste Freunde (Una mattina),12/23/2013 13:48
Thepekingduck,Jonas Kvarnström,Best of Piano Movie Themes (21st Century Film Music),River Flows in You - Twilight Breaking Dawn,12/23/2013 13:44
Thepekingduck,Jonas Kvarnström,Best of Piano Movie Themes (21st Century Film Music),Vois Sur Ton Chemin - Les Choristes Movie Theme,12/23/2013 13:40
Thepekingduck,Miss Montreal,Say Heaven Say Hell,Say Heaven Say Hell,12/23/2013 13:37
Thepekingduck,Inge,Heaven Knows,Rewind,12/23/2013 13:23
Thepekingduck,U2,Mandela – Long Walk To Freedom (Original Motion Picture Soundtrack),Ordinary Love,12/23/2013 13:20
Thepekingduck,Jill Helena,The Best of The voice Unplugged,Als Alle Lichten Zijn Gedoofd - from The voice Unplugged @ 538,12/23/2013 13:17
Thepekingduck,Rihanna,Unapologetic,What Now,12/23/2013 13:12
Thepekingduck,Afrojack,The Spark,The Spark,12/23/2013 13:08
Thepekingduck,Katy Perry,Roar,Roar,12/23/2013 13:04
Thepekingduck,Awolnation,Megalithic Symphony - Deluxe Edition,Sail,12/23/2013 12:59
Thepekingduck,Rebecca Ferguson,I Hope,I Hope - Radio Edit,12/23/2013 12:54
Thepekingduck,Lady Gaga,Do What U Want,Do What U Want,12/23/2013 12:50
Thepekingduck,Martin Garrix,Animals,Animals - Original Remix,12/23/2013 12:46
Thepekingduck,Calvin Harris,Under Control,Under Control,12/23/2013 12:43
Thepekingduck,Ellie Goulding,Halcyon Days,How Long Will I Love You,12/23/2013 12:41
Thepekingduck,Kurupt,Kuruption,C-Walk,12/21/2013 21:16
Thepekingduck,Dirt Platoon,War Face,Dirty Work,12/21/2013 21:12
Thepekingduck,Eve,Scorpion,Let Me Blow Ya Mind,12/21/2013 16:52
Thepekingduck,A Tribe Called Quest,The Best Of,Award Tour,12/21/2013 16:48
Thepekingduck,Blackstreet,No Diggity: The Very Best Of Blackstreet,No Diggity,12/21/2013 16:43
Thepekingduck,House of Pain,House of Pain,Top o' the Morning to Ya,12/21/2013 16:40
Thepekingduck,House of Pain,House of Pain,Jump Around,12/21/2013 16:37
Thepekingduck,Kavinsky,1986 - EP,Wayfarer,12/18/2013 15:20
Thepekingduck,Kavinsky,1986 - EP,Wayfarer,12/18/2013 15:20
Thepekingduck,Kavinsky,Nightcall,Nightcall - Dustin N'Guyen Remix,12/18/2013 15:16
Thepekingduck,Kavinsky,OutRun,Roadgame,12/18/2013 15:13
Thepekingduck,Kavinsky,Odd Look,Odd Look,12/18/2013 15:09
Thepekingduck,Kavinsky,OutRun,Nightcall,12/18/2013 15:05
Thepekingduck,Marco Borsato,Duizend Spiegels,Samen Voor Altijd,12/12/2013 21:00
Thepekingduck,U2,Mandela – Long Walk To Freedom (Original Motion Picture Soundtrack),Ordinary Love,12/12/2013 20:56
Thepekingduck,Cake,Comfort Eagle,Comfort Eagle,12/12/2013 20:47
Thepekingduck,Racoon,Shoes Of Lightning,Shoes Of Lightning,12/12/2013 20:43
Thepekingduck,Mr. Probz,Waves,Waves,12/12/2013 20:40
Thepekingduck,Racoon,Shoes Of Lightning,Shoes Of Lightning,12/12/2013 20:35
Thepekingduck,Phace,Cold Champagne / Astral Projection,Cold Champagne,12/12/2013 20:30
Thepekingduck,Gang Starr,Mass Appeal: The Best of Gang Starr,The Militia - Feat. Big Shug And Freddie Foxxx,12/11/2013 12:33
Thepekingduck,Damian Marley,All Night Hit Pack,Road To Zion,12/11/2013 12:28
Thepekingduck,The Notorious B.I.G.,Ready To Die The Remaster,Big Poppa,12/11/2013 12:24
Thepekingduck,House of Pain,House of Pain,Jump Around,12/11/2013 12:20
Thepekingduck,The Notorious B.I.G.,Ready To Die The Remaster,Juicy,12/11/2013 12:15
Thepekingduck,Slum Village,Fantastic Vol. 2.10,Fall In Love,12/11/2013 12:13
Thepekingduck,Gang Starr,Full Clip: A Decade Of Gang Starr,Work,12/11/2013 12:10
Thepekingduck,Robin Thicke,The Evolution of Robin Thicke,Wanna Love You Girl - Main,12/11/2013 12:05
Thepekingduck,Little Mix,Move,Move,12/7/2013 20:03
Thepekingduck,Eminem,The Monster,The Monster,12/7/2013 19:59
Thepekingduck,Ellie Goulding,Halcyon Days,How Long Will I Love You,12/7/2013 19:57
Thepekingduck,Bastille,Of The Night,Of the Night,12/7/2013 19:53
Thepekingduck,Lily Allen,Somewhere Only We Know,Somewhere Only We Know,12/7/2013 19:50
Thepekingduck,Mark Knopfler,Sailing to Philadelphia,Speedway At Nazareth,12/7/2013 15:08
Thepekingduck,Cake,Comfort Eagle,Comfort Eagle,12/7/2013 15:05
Thepekingduck,Lee Ritenour,6 String Theory,Give Me One Reason,12/7/2013 14:59
Thepekingduck,Oli Brown,Here I Am,Devil In Me,12/7/2013 14:55
Thepekingduck,The Black Keys,Little Black Submarines,Little Black Submarines - radio edit,12/7/2013 14:51
Thepekingduck,Larry Garner,Too Blues,Kleptomaniac,12/7/2013 14:49
Thepekingduck,Jurassic 5,Quality Control,Quality Control,12/7/2013 14:44
Thepekingduck,Jurassic 5,Power In Numbers,Thin Line,12/7/2013 14:39
Thepekingduck,Jurassic 5,J 5 (Deluxe Edition),In the Flesh,12/7/2013 14:35
Thepekingduck,Jurassic 5,Power In Numbers,What's Golden,12/7/2013 14:32
Thepekingduck,Jurassic 5,J 5 (Deluxe Edition),Jayou,12/7/2013 14:29
Thepekingduck,Jurassic 5,J 5 (Deluxe Edition),Concrete Schoolyard,12/7/2013 14:24
Thepekingduck,Sigma,Night and Day Part 2 EP,Do You Love - Infuze Remix,12/7/2013 10:55
Thepekingduck,Camo & Krooked,Cross the Line,All Fall Down,12/7/2013 10:52
Thepekingduck,Camo & Krooked,Cross the Line,Watch It Burn,12/7/2013 10:49
Thepekingduck,Opgezwolle,Vloeistof,Verre Oosten,12/5/2013 21:51
Thepekingduck,Gabriel Ananda,Live Series Vol.2,Hey Blop - Original Mix,12/5/2013 21:38
Thepekingduck,Amine Edge & Dance,Goodie-Goodies,Going To Heaven With The Goodie-Goodies,12/5/2013 21:34
Thepekingduck,Nause,Made Of,Made Of - Original Mix,12/5/2013 21:26
Thepekingduck,Nero,Welcome Reality,Me And You,12/5/2013 21:19
Thepekingduck,Moguai,Club Life Vol. 3 - Stockholm (Spotify Exclusive),Champs,12/5/2013 21:15
Thepekingduck,Prince,The Hits/The B-Sides,She's Always In My Hair,12/5/2013 21:11
Thepekingduck,Young Fathers,Tape Two,I Heard,12/5/2013 21:06
Thepekingduck,Hardwell,Dare You,Dare You - Radio Edit,12/5/2013 20:57
Thepekingduck,Storm Queen,Look Right Through,Look Right Through (MK Vocal Edit),12/5/2013 20:55
Thepekingduck,Jason Derülo,Tattoos,Trumpets,12/5/2013 20:43
Thepekingduck,Hardwell,Dare You,Dare You - Radio Edit,12/1/2013 23:15
Thepekingduck,Hardwell,Dare You,Dare You - Radio Edit,12/1/2013 23:15
Thepekingduck,Storm Queen,Look Right Through,Look Right Through (MK Vocal Edit),12/1/2013 23:12
Thepekingduck,Katy Perry,PRISM,Unconditionally,12/1/2013 23:07
Thepekingduck,Robin Thicke,Blurred Lines,Blurred Lines,12/1/2013 23:03
Thepekingduck,Bastille,Of The Night,Of the Night,12/1/2013 22:59
Thepekingduck,Bastille,Of The Night,Of the Night,12/1/2013 22:55
Thepekingduck,Bastille,Bad Blood,Things We Lost in the Fire,12/1/2013 22:50
Thepekingduck,Storm Queen,Look Right Through,Look Right Through (MK Vocal Edit),12/1/2013 22:47
Thepekingduck,Storm Queen,Look Right Through,Look Right Through (MK Vocal Edit),12/1/2013 22:44
Thepekingduck,Racoon,Shoes Of Lightning,Shoes Of Lightning,12/1/2013 22:36
Thepekingduck,Klingande,Jubel,Jubel (Radio Edit),12/1/2013 22:32
Thepekingduck,Miley Cyrus,Wrecking Ball,Wrecking Ball,12/1/2013 22:27
Thepekingduck,Mr. Probz,Waves,Waves,12/1/2013 22:24
Thepekingduck,Afrojack,The Spark,The Spark,12/1/2013 22:20
Thepekingduck,OneRepublic,Native,Counting Stars,12/1/2013 22:15
Thepekingduck,Avicii,Wake Me Up,Wake Me Up,12/1/2013 22:12
Thepekingduck,Parra for Cuva,Wicked Games,Wicked Games - Radio Edit,12/1/2013 22:09
Thepekingduck,One Direction,Midnight Memories (Deluxe),Strong,12/1/2013 22:06
Thepekingduck,Eminem,The Monster,The Monster,12/1/2013 22:02
Thepekingduck,Avicii,TRUE,Hey Brother,12/1/2013 21:58
Thepekingduck,Avicii,TRUE,Hey Brother,12/1/2013 15:53
Thepekingduck,Ellie Goulding,Halcyon Days,How Long Will I Love You,12/1/2013 15:51
Thepekingduck,Bastille,Of The Night,Of the Night,12/1/2013 15:48
Thepekingduck,Lily Allen,Somewhere Only We Know,Somewhere Only We Know,12/1/2013 15:44
Thepekingduck,Jake Bugg,Jake Bugg,Lightning Bolt,12/1/2013 15:02
Thepekingduck,Avenged Sevenfold,Hail To The King,Coming Home,12/1/2013 14:56
Thepekingduck,Amos Lee,Last Days At The Lodge,Ease Back,12/1/2013 14:51
Thepekingduck,James Brown,Music From The Motion Picture Lock Stock And Two Smoking Barrels,The Boss,12/1/2013 14:48
Thepekingduck,Amos Lee,Last Days At The Lodge,Street Corner Preacher,12/1/2013 14:40
Thepekingduck,Amos Lee,Last Days At The Lodge,Truth,12/1/2013 14:36
Thepekingduck,Fugees,Greatest Hits,A Change Is Gonna Come - Live From BBC/Radio 1,12/1/2013 14:33
Thepekingduck,Bob Dylan,Music From The Motion Picture Watchmen,The Times They Are a-Changin',12/1/2013 14:30
Thepekingduck,Allah-Las,Allah-Las,Busman's Holiday,12/1/2013 14:27
Thepekingduck,The Thermals,Born To Kill,Born To Kill,12/1/2013 14:25
Thepekingduck,Black Rebel Motorcycle Club,Let The Day Begin,Let The Day Begin,12/1/2013 14:21
Thepekingduck,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm,1904,12/1/2013 14:17
Thepekingduck,Gang Starr,Hard To Earn,Code Of The Streets,11/30/2013 18:00
Thepekingduck,The Pharcyde,Labcabincalifornia,Runnin',11/30/2013 17:57
Thepekingduck,Kurupt,Tha Streetz Iz A Mutha (Digitally Remastered),Callin' Out Names,11/30/2013 17:52
Thepekingduck,The Lady of Rage,Full Clip: A Decade of Gang Starr,You Know My Steez - Feat. The Lady Of Rage And Kurupt,11/30/2013 17:49
Thepekingduck,Kurupt,Space Boogie: Smoke Oddessey (Digitally Remastered),On Onsite,11/30/2013 17:45
Thepekingduck,Dion,Hi-teknology - Volume 2,Keep It Moving,11/30/2013 17:40
Thepekingduck,Kurupt,Space Boogie: Smoke Oddessey (Digitally Remastered),Space Boogie,11/30/2013 17:36
Thepekingduck,Daz Dillinger,So So Gangsta,Money On My Mind - Feat. Kurupt,11/30/2013 17:32
Thepekingduck,Kurupt,Space Boogie: Smoke Oddessey (Digitally Remastered),Bring Back That G Shit,11/30/2013 17:27
Thepekingduck,Kurupt,Tha Streetz Iz A Mutha (Digitally Remastered),Who Ride Wit Us,11/30/2013 17:23
Thepekingduck,Tyga,Street Heaters Vol. 22,I Needs My Money,11/30/2013 17:20
Thepekingduck,Kurupt,Kuruption,C-Walk,11/30/2013 17:15
Thepekingduck,Tyga,Street Heaters Vol. 22,I Needs My Money,11/30/2013 17:09
Thepekingduck,Kurupt,Kuruption,C-Walk,11/30/2013 17:04
Thepekingduck,Kurupt,Kuruption,C-Walk,11/30/2013 16:58
Thepekingduck,Warren G,Party We Will Throw Now! - Single,Party We Will Throw Now!,11/30/2013 16:54
Thepekingduck,Digital Underground,Sex Packets,The Humpty Dance,11/30/2013 16:48
Thepekingduck,Snoop Dogg,Doggystyle,Ain't No Fun,11/30/2013 16:43
Thepekingduck,Dilated Peoples,Expansion Team,Worst Comes To Worst,11/30/2013 16:39
Thepekingduck,The Roots,Illadelph Halflife,It Just Don't Stop,11/30/2013 16:34
Thepekingduck,Bernhoft,5 Breaks EP,Choices - Live,11/24/2013 12:17
Thepekingduck,Herman Brood & His Wild Romance,De Brood-Box,Saturday Night,11/24/2013 12:13
Thepekingduck,ZZ Top,ZZ Top - Greatest Hits,Gimme All Your Lovin',11/24/2013 12:09
Thepekingduck,Supertramp,Retrospectacle - The Supertramp Anthology,School,11/24/2013 12:04
Thepekingduck,The Jeff Healey Band,See The Light,See the Light,11/24/2013 11:59
Thepekingduck,The Soul Session,One,Root Down feat. Kay Fischer,11/24/2013 11:56
Thepekingduck,Usher,Yeah!,Yeah!,11/23/2013 17:57
Thepekingduck,Walter Trout,Positively Beale Street,One Way Street,11/23/2013 17:52
Thepekingduck,Me First and the Gimme Gimmes,Love Their Country,Sunday Morning Coming Down,11/23/2013 17:48
Thepekingduck,The Kooks,Inside In / Inside Out,You Don't Love Me,11/23/2013 17:46
Thepekingduck,Me First and the Gimme Gimmes,Love Their Country,I'm So Lonesome I Could Cry,11/23/2013 17:44
Thepekingduck,Cake,Fashion Nugget,The Distance,11/23/2013 17:41
Thepekingduck,Walter Trout,Positively Beale Street,Got a Broken Heart,11/23/2013 17:34
Thepekingduck,Soundgarden,Superunknown,Black Hole Sun,11/23/2013 17:29
Thepekingduck,The Jeff Healey Band,See The Light,Blue Jean Blues,11/23/2013 17:23
Thepekingduck,White Town,Playlist: Dance,Your Woman,11/23/2013 17:19
Thepekingduck,Mark Knopfler,Privateering,Redbud Tree,11/23/2013 17:16
Thepekingduck,Cake,Fashion Nugget,I Will Survive,11/23/2013 17:11
Thepekingduck,Walter Trout,Relentless,Work No More,11/23/2013 17:05
Thepekingduck,Peter Pan Speedrock,Fiftysomesuperhits,Resurrection,11/23/2013 17:02
Thepekingduck,Walter Trout,Unspoiled by Progress - 20th Anniversary,Workin' Class,11/23/2013 16:57
Thepekingduck,Mark Knopfler,Sailing to Philadelphia,Speedway At Nazareth,11/23/2013 16:51
Thepekingduck,Cake,Comfort Eagle,Comfort Eagle,11/23/2013 16:47
Thepekingduck,Lee Ritenour,6 String Theory,Give Me One Reason,11/23/2013 16:42
Thepekingduck,Oli Brown,Here I Am,Devil In Me,11/23/2013 16:38
Thepekingduck,The Black Keys,Little Black Submarines,Little Black Submarines - radio edit,11/23/2013 16:34
Thepekingduck,James Brown,Music From The Motion Picture Lock Stock And Two Smoking Barrels,The Boss,11/23/2013 16:16
Thepekingduck,John K. Samson,Provincial,When I Write My Master's Thesis,11/23/2013 16:13
Thepekingduck,Armin van Buuren,This Is What It Feels Like,This Is What It Feels Like,11/23/2013 15:26
Thepekingduck,Stromae,Papaoutai,Papaoutai,11/23/2013 15:20
Thepekingduck,Mr. Probz,Waves,Waves,11/23/2013 15:17
Thepekingduck,Maitre Gims,J'me tire,J'me Tire,11/23/2013 15:12
Thepekingduck,Cris Cab,Liar Liar,Liar Liar,11/23/2013 15:09
Thepekingduck,Yellow Claw,Shotgun,Shotgun,11/23/2013 15:06
Thepekingduck,Bløf,Mannenharten,Mannenharten,11/23/2013 15:02
Thepekingduck,Imagine Dragons,Night Visions,On Top of the World,11/23/2013 14:59
Thepekingduck,Drake,Hold On We're Going Home,Hold On We're Going Home,11/23/2013 14:55
Thepekingduck,Ellie Goulding,Burn,Burn,11/23/2013 14:51
Thepekingduck,Parra for Cuva,Wicked Games,Wicked Games - Radio Edit,11/23/2013 14:48
Thepekingduck,John Legend,Love in the Future,All of Me,11/23/2013 14:43
Thepekingduck,DVBBS,Tsunami,Tsunami - Radio Edit,11/23/2013 14:39
Thepekingduck,Marco Borsato,Ik Zou Het Zo Weer Overdoen (met Trijntje Oosterhuis),Ik Zou Het Zo Weer Overdoen,11/23/2013 14:37
Thepekingduck,Avicii,TRUE,Hey Brother,11/23/2013 14:33
Thepekingduck,Lana Del Rey,Born to Die,Million Dollar Man,11/23/2013 14:28
Thepekingduck,Alex Clare,The Lateness Of the Hour,Up All Night,11/23/2013 14:25
Thepekingduck,Miike Snow,Happy To You,Devil's Work,11/23/2013 14:21
Thepekingduck,King Charles,LoveBlood,Mississippi Isabel,11/23/2013 14:18
Thepekingduck,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,AKA... What a Life!,11/23/2013 14:14
Thepekingduck,No Doubt,Push and Shove,Push and Shove,11/23/2013 14:09
Thepekingduck,Frank Turner,Recovery,Recovery,11/23/2013 14:05
Thepekingduck,Two Door Cinema Club,Beacon,Sleep Alone,11/23/2013 14:01
Thepekingduck,The Temper Trap,The Temper Trap,Trembling Hands,11/23/2013 13:57
Thepekingduck,Alex Clare,The Lateness Of the Hour,Relax My Beloved,11/23/2013 13:53
Thepekingduck,Crystal Fighters,Star of Love,At Home,11/23/2013 13:48
Thepekingduck,John Legend,Love in the Future,All of Me,11/23/2013 0:52
Thepekingduck,Parra for Cuva,Wicked Games,Wicked Games - Radio Edit,11/23/2013 0:49
Thepekingduck,Disclosure,Settle,Help Me Lose My Mind (feat. London Grammar),11/23/2013 0:44
Thepekingduck,Jake Bugg,Jake Bugg,Lightning Bolt,11/23/2013 0:41
Thepekingduck,Jake Bugg,Jake Bugg,Lightning Bolt,11/22/2013 20:25
Thepekingduck,Jake Bugg,Jake Bugg,Lightning Bolt,11/22/2013 20:22
Thepekingduck,Parra for Cuva,Wicked Games,Wicked Games - Radio Edit,11/22/2013 20:14
Thepekingduck,Jason Derülo,Talk Dirty,Talk Dirty - feat. 2 Chainz,11/22/2013 20:09
Thepekingduck,Avicii,Wake Me Up,Wake Me Up,11/22/2013 20:05
Thepekingduck,DVBBS,Tsunami,Tsunami - Radio Edit,11/22/2013 20:01
Thepekingduck,Katy Perry,Roar,Roar,11/22/2013 19:58
Thepekingduck,Marco Borsato,Ik Zou Het Zo Weer Overdoen (met Trijntje Oosterhuis),Ik Zou Het Zo Weer Overdoen,11/22/2013 19:53
Thepekingduck,John Legend,Love in the Future,All of Me,11/10/2013 23:47
Thepekingduck,John Legend,Love in the Future,All of Me,11/10/2013 23:22
Thepekingduck,John Legend,Love in the Future,All of Me,11/10/2013 18:43
Thepekingduck,One Direction,Story of My Life,Story of My Life,11/7/2013 22:31
Thepekingduck,Avicii,TRUE,Hey Brother,11/7/2013 22:28
Thepekingduck,Reconnected,Time of Our Lives,Time of Our Lives - Radio Edit,11/7/2013 22:16
Thepekingduck,Chase & Status,Count On Me,Count On Me,11/7/2013 22:13
Thepekingduck,Icona Pop,All Night,All Night,11/7/2013 22:10
Thepekingduck,The Saturdays,Disco Love,Disco Love,11/7/2013 22:06
Thepekingduck,Eminem,Rap God,Rap God,11/3/2013 19:19
Thepekingduck,Eminem,Rap God,Rap God,11/3/2013 19:19
Thepekingduck,Wilkinson,Afterglow,Afterglow,11/3/2013 19:14
Thepekingduck,Showtek,Booyah,Booyah - Original Mix,11/3/2013 19:09
Thepekingduck,OneRepublic,Native,Counting Stars,11/3/2013 19:03
Thepekingduck,James Arthur,You're Nobody 'Til Somebody Loves You,You're Nobody 'Til Somebody Loves You,11/3/2013 19:00
Thepekingduck,Avicii,TRUE,You Make Me,10/26/2013 14:18
Thepekingduck,Chase & Status,Count On Me,Count On Me,10/26/2013 14:14
Thepekingduck,John Newman,Cheating,Cheating,10/26/2013 14:10
